CUI,Phrase,Type
C0019079,coughing up blood (hemoptysis),SY
C0019079,Blood in sputum - haemoptysis (finding),SY
C0019079,Blood in sputum - hemoptysis (finding),SY
C0019079,Blood in sputum - haemoptysis [& symptom] (finding),SY
C0019080,Hemorrhage,PT
C0019080,HEMORRHAGE,SY
C0019080,hemorrhage,SY
C0019080,Hemorrhages,SY
C0019080,HAEMORRHAGE NOS,SY
C0019080,HEMORRHAGE NOS,SY
C0019080,HEMORRHAGES,SY
C0019080,Haemorrhage,SY
C0019080,Haemorrhage NOS,SY
C0019080,Hemorrhage NOS,SY
C0019080,haemorrhages,SY
C0019080,hemorrhages,SY
C0019080,HEMORRHAGE (NOS),SY
C0019080,Hemorrhage (NOS),SY
C0019080,haemorrhage,SY
C0019080,Bleeding,SY
C0019080,BLEEDING,SY
C0019080,bleeding,SY
C0019080,bleeds,SY
C0019080,bleed,SY
C0019080,BLEED_NOS,SY
C0019080,Extravasation of blood,SY
C0019080,EXTRAVASATION BLOOD,SY
C0019080,Extravasation blood,SY
C0019080,blood; extravasation,SY
C0019080,extravasation; blood,SY
C0019080,Bleeding (disorder),SY
C0019080,Blood loss,SY
C0019080,BLOOD LOSS,SY
C0019080,blood loss,SY
C0019080,Blood loss of (NOS),SY
C0019080,Hem,SY
C0019080,HEM,SY
C0019080,Hemorrhage term,SY
C0019080,37 HEMORRHAGES,SY
C0019080,bleeding problems,SY
C0019080,bleeding problem,SY
C0019080,BLEED_NOS PROBLEM,SY
C0019080,Hemorrhage (morphologic abnormality),SY
C0019080,Bleeding (finding),SY
C0019080,Bleeding -RETIRED-,SY
C0019080,Hemorrhage NOS (disorder),SY
C0019080,Haemorrhage NOS (disorder),SY
C0019080,hemorrhage (diagnosis),SY
C0019080,bleeding (symptom),SY
C0020192,Hyaline Membrane Disease,PT
C0020192,HYALINE MEMBRANE DISEASE,SY
C0020192,Hyaline membrane disease,SY
C0020192,hyaline membrane disease,SY
C0020192,Diseases,SY
C0020192,Hyaline Membrane,SY
C0020192,Hyaline Membrane Diseases,SY
C0020192,Disease,SY
C0020192,newborn rds,SY
C0020192,newborns rds,SY
C0020192,HMD - Hyaline membrane disease,SY
C0020192,distress newborn respiratory,SY
C0020192,distress newborns respiratory,SY
C0020192,respiratory distress of newborn,SY
C0020192,newborn respiratory distress,SY
C0020192,respiratory distress newborn,SY
C0020192,Pulmonary hyaline membrane disease,SY
C0020192,HYALINE MEMBRANE DIS,SY
C0020192,Hyaline membrane disease (disorder),SY
C0021400,Influenza,PT
C0021400,INFLUENZA,SY
C0021400,influenza,SY
C0021400,Influenzas,SY
C0021400,Influenza NOS,SY
C0021400,influenzas,SY
C0021400,Influenzae,SY
C0021400,Flu,SY
C0021400,FLU,SY
C0021400,flu,SY
C0021400,Grippe,SY
C0021400,grippe,SY
C0021400,GRIP,SY
C0021400,Syndrome flu,SY
C0021400,FLU SYNDROME,SY
C0021400,flu syndrome,SY
C0021400,Flu syndrome,SY
C0021400,SYNDROME FLU,SY
C0021400,Influenza (disorder),SY
C0021400,Influenza NOS (disorder),SY
C0021400,Human Flu,SY
C0021400,Human,SY
C0021400,Human Influenzas,SY
C0021400,Influenza in Humans,SY
C0021400,Influenza in Human,SY
C0021400,Human Influenza,SY
C0021400,influenza (diagnosis),SY
C0021400,flus,SY
C0021932,"Intubation, Intratracheal",PT
C0021932,intratracheal intubation,SY
C0021932,Intratracheal Intubations,SY
C0021932,Intubations,SY
C0021932,Intratracheal,SY
C0021932,Intratracheal Intubation,SY
C0021932,Intubation of trachea,SY
C0021932,trachea intubation,SY
C0021932,Trachea--Intubation,SY
C0021932,Intubation,SY
C0021932,Endotracheal,SY
C0021932,endotracheal intubation,SY
C0021932,Endotracheal intubation,SY
C0021932,intubation endotracheal,SY
C0021932,INTUBATION ENDOTRACHEAL,SY
C0021932,Endotracheal Intubations,SY
C0021932,Endotracheal intubation NOS,SY
C0021932,endotracheal intubations,SY
C0021932,Endotracheal Intubation,SY
C0021932,Tracheal intubation,SY
C0021932,intubation tracheal,SY
C0021932,tracheal intubation,SY
C0021932,Tracheal Intubation,SY
C0021932,Insertion of endotracheal tube,SY
C0021932,Endotracheal tube insertion,SY
C0021932,endotracheal tube insertion,SY
C0021932,Insertion of endotracheal tube (procedure),SY
C0021932,Endotracheal tube insertion (procedure),SY
C0021932,Endotracheal intubation NOS (procedure),SY
C0021932,Insert endotracheal tube,SY
C0021932,endotracheal tube insertion (treatment),SY
C0021932,insertion of endotracheal (ET) tube,SY
C0021932,Tracheal intubation (procedure),SY
C0024312,Lymphopenia,PT
C0024312,LYMPHOPENIA,SY
C0024312,lymphopenia,SY
C0024312,Lymphopenias,SY
C0024312,Lymphocytopenia,SY
C0024312,LYMPHOCYTOPENIA,SY
C0024312,lymphocytopenia,SY
C0024312,Lymphocytopenias,SY
C0024312,Decreased lymphocytes,SY
C0024312,decreased lymphocytes,SY
C0024312,decreased lymphocyte,SY
C0024312,Disorder characterized by lymphopenia,SY
C0024312,Decreased blood lymphocyte number,SY
C0024312,Low lymphocyte number,SY
C0024312,Lymphocytopenia (disorder),SY
C0024312,Absolute lymphocyte count decrease,SY
C0024312,lymphocytopenia (diagnosis),SY
C0024312,lymphopenia (diagnosis),SY
C0027424,Nasal congestion (finding),PT
C0027424,Congestion of nose,SY
C0027424,NOSE CONGESTION,SY
C0027424,nose congestion,SY
C0027424,Nose congestion,SY
C0027424,Nasal congestion,SY
C0027424,CONGESTION NASAL,SY
C0027424,Congestion nasal,SY
C0027424,Congestion;nasal,SY
C0027424,NASAL CONGESTION,SY
C0027424,Nasal Congestion,SY
C0027424,nasal congestion,SY
C0027424,Congested nose,SY
C0027424,congested nose,SY
C0027424,Stuffed-up nose,SY
C0027424,Nasal stuffiness,SY
C0027424,Nasal Stuffiness,SY
C0027424,NASAL STUFFINESS,SY
C0027424,nasal stuffiness,SY
C0027424,nasal passage blockage (stuffiness) (symptom),SY
C0027424,blocked nose,SY
C0027424,Blocked nose,SY
C0027424,blocking nose,SY
C0027424,nose block,SY
C0027424,Stuffy nose,SY
C0027424,stuffy nose,SY
C0027424,nasal passage blockage,SY
C0027424,nasal passage blockage (stuffiness),SY
C0027497,Nausea,PT
C0027497,NAUSEA,SY
C0027497,nausea,SY
C0027497,Nausea NOS,SY
C0027497,nauseas,SY
C0027497,Feeling queasy,SY
C0027497,FEELING QUEASY,SY
C0027497,Nauseated,SY
C0027497,nauseated,SY
C0027497,nauseating,SY
C0027497,Nauseous,SY
C0027497,nauseous,SY
C0027497,Feeling bilious,SY
C0027497,[D]Nausea,SY
C0027497,Feeling sick,SY
C0027497,sick feeling,SY
C0027497,feeling sick,SY
C0027497,feel sick,SY
C0027497,Queasy,SY
C0027497,QUEASY,SY
C0027497,queasy,SY
C0027497,C/O - nausea,SY
C0027497,nausea (symptom),SY
C0027497,Nausea symptoms,SY
C0027497,nausea symptoms,SY
C0027497,nausea symptom,SY
C0027497,symptoms nausea,SY
C0027497,symptom nausea,SY
C0027497,Observation of nausea,SY
C0027497,[D]Nausea (context-dependent category),SY
C0027497,Finding of nausea (finding),SY
C0027497,Nausea (finding),SY
C0027497,Finding of nausea,SY
C0027497,Nausea NOS (finding),SY
C0027497,[D]Nausea (situation),SY
C0027497,Nausea (disorder),SY
C0027497,rndx nausea (diagnosis),SY
C0027497,rndx nausea,SY
C0027498,Nausea and vomiting,PT
C0027498,vomiting and nausea,SY
C0027498,Vomiting and Nausea,SY
C0027498,NAUSEA AND VOMITING,SY
C0027498,nausea and vomiting,SY
C0027498,Nausea and Vomiting,SY
C0027498,Nausea and vomiting NOS,SY
C0027498,Nausea with vomiting,SY
C0027498,NAUSEA VOMITING,SY
C0027498,Nausea/vomiting,SY
C0027498,nausea/vomiting,SY
C0027498,nausea with vomiting,SY
C0027498,[D]Nausea and vomiting,SY
C0027498,[D]Nausea and vomiting NOS,SY
C0027498,N+V - Nausea and vomiting,SY
C0027498,N&V - Nausea and vomiting,SY
C0027498,Nausea and vomiting symptoms,SY
C0027498,nausea with vomiting (symptom),SY
C0027498,[D]Nausea and vomiting NOS (context-dependent category),SY
C0027498,[D]Nausea and vomiting (context-dependent category),SY
C0027498,Nausea and vomiting (disorder),SY
C0027498,[D]Nausea and vomiting (situation),SY
C0027498,[D]Nausea and vomiting NOS (situation),SY
C0032285,Pneumonia,PT
C0032285,PNEUMONIA,SY
C0032285,pneumonia,SY
C0032285,Pneumonias,SY
C0032285,Pneumonia NOS,SY
C0032285,Pneumoniae,SY
C0032285,Pneumonitis,SY
C0032285,unspecified pneumonia,SY
C0032285,Lung inflamed,SY
C0032285,pneum,SY
C0032285,PNEUM,SY
C0032285,Lung inflammation,SY
C0032285,lung inflammation,SY
C0032285,inflammation lungs,SY
C0032285,Pulmonary inflammation,SY
C0032285,pulmonary inflammation,SY
C0032285,Pulmonitis,SY
C0032285,Pneumonia (disorder) [Ambiguous],SY
C0032285,Pneumonia (disorder),SY
C0032285,Pneumonia NOS (disorder),SY
C0032285,pneumonia (diagnosis),SY
C0034642,Rales,PT
C0034642,RALES,SY
C0034642,rales,SY
C0034642,Rale,SY
C0034642,rale,SY
C0034642,Crackles,SY
C0034642,CRACKLES,SY
C0034642,crackles,SY
C0034642,Crackle,SY
C0034642,crackle,SY
C0034642,chest crepitation,SY
C0034642,Crepitation;chest,SY
C0034642,CHEST CREPITATION,SY
C0034642,Crepitations,SY
C0034642,crepitations,SY
C0034642,Crepitation,SY
C0034642,crepitation,SY
C0034642,Crepitations NOS,SY
C0034642,Crepitant rales,SY
C0034642,crepitant rale,SY
C0034642,Respiratory crackles,SY
C0034642,Respiratory crepitations,SY
C0034642,Respiratory crepitation,SY
C0034642,[D]Rales,SY
C0034642,PULMONARY RALES/CRACKLES/CREPITATIONS,SY
C0034642,Pulmonary Rales,SY
C0034642,Lung crepitation,SY
C0034642,Crackles lung,SY
C0034642,lung crackles,SY
C0034642,Crackles in lungs,SY
C0034642,[D]Rales (context-dependent category),SY
C0034642,Respiratory crackles (finding),SY
C0034642,Crepitation (finding),SY
C0034642,Rales (finding),SY
C0034642,[D]Rales (situation),SY
C0034642,rales or crackles (physical finding),SY
C0034642,rales or crackles,SY
C0035222,"Respiratory Distress Syndrome, Adult",PT
C0035222,SYNDROME ADULT RESPIRATORY DISTRESS,SY
C0035222,SYNDROME RESPIRATORY DISTRESS ADULT,SY
C0035222,ADULT RESPIRATORY DISTRESS SYNDROME,SY
C0035222,Adult respiratory distress syndrome,SY
C0035222,adult respiratory distress syndrome,SY
C0035222,Syndrome adult respiratory distress,SY
C0035222,Syndrome respiratory distress adult,SY
C0035222,distress syndrome; respiratory,SY
C0035222,adult,SY
C0035222,distress; respiratory syndrome,SY
C0035222,distress; respiratory,SY
C0035222,syndrome,SY
C0035222,syndrome; respiratory distress,SY
C0035222,RESPIRATORY DISTRESS SYNDROME ADULT,SY
C0035222,RESPIRATORY DISTRESS SYNDROME,SY
C0035222,ADULT,SY
C0035222,Respiratory distress syndrome,SY
C0035222,Adult,SY
C0035222,Respiratory distress syndrome adult,SY
C0035222,respiratory distress; syndrome,SY
C0035222,respiratory; distress,SY
C0035222,DISTRESS RESPIRATORY SYNDROME ADULTS,SY
C0035222,Distress respiratory syndrome adults,SY
C0035222,Adult Respiratory Distress Syndrome,SY
C0035222,Congestive atelectasis,SY
C0035222,respiratory; distress syndrome,SY
C0035222,Shock Lung,SY
C0035222,lung; shock,SY
C0035222,SHOCK LUNG,SY
C0035222,Shock lung,SY
C0035222,shock lung,SY
C0035222,shock; lung,SY
C0035222,Lung,SY
C0035222,Shock,SY
C0035222,shock-lung; syndrome,SY
C0035222,Shock-lung syndrome,SY
C0035222,syndrome; shock-lung,SY
C0035222,wet lung,SY
C0035222,ARDS,SY
C0035222,Human ARDS,SY
C0035222,Adult respiratory distress syndr,SY
C0035222,ADULT RESPIRATORY DISTRESS SYNDR,SY
C0035222,Adult respiratory stress syndrome,SY
C0035222,ADULT RESPIRATORY STRESS SYNDROME,SY
C0035222,ards,SY
C0035222,wet lung syndrome,SY
C0035222,WET LUNG SYNDROME,SY
C0035222,DaNang lung,SY
C0035222,danang lung,SY
C0035222,Vietnam lung,SY
C0035222,Acquired resp distress syndrom,SY
C0035222,Acquired respiratory distress syndrome,SY
C0035222,Respiratory Distress Syndrome,SY
C0035222,Acute,SY
C0035222,Acute respiratory distress syndrome,SY
C0035222,RESPIRATORY DISTRESS SYNDROME ACUTE,SY
C0035222,Acute Respiratory Distress Syndrome,SY
C0035222,ARDS - Adult resp distr syndr,SY
C0035222,ARDS - Adult respiratory distress syndrome,SY
C0035222,adult respiratory distress syndrome (ARDS),SY
C0035222,Adult hyaline membrane disease,SY
C0035222,hyaline; disease,SY
C0035222,membrane,SY
C0035222,adult hyaline membrane disease,SY
C0035222,Adult respiratory distr syndr,SY
C0035222,Pulm capillary leak syndrome,SY
C0035222,Pulmonary capillary leak syndrome,SY
C0035222,Wet-lung syndrome,SY
C0035222,Syndrome adult respiratory,SY
C0035222,adult respiratory syndrome,SY
C0035222,SYNDROME ADULT RESPIRATORY,SY
C0035222,Respiratory distress syndrome (finding),SY
C0035222,A.R.D.S.,SY
C0035222,a r d s,SY
C0035222,a.r.d.s.,SY
C0035222,Adult RDS,SY
C0035222,adult rds,SY
C0035222,Acute respiratory distress syndrome (disorder),SY
C0035222,RDS,SY
C0035222,ARDSs,SY
C0035222,Adult respiratory distress syndrome (disorder),SY
C0035222,Resp. distress synd. - adult,SY
C0035222,Respirat distress synd-adult,SY
C0035222,adult respiratory distress syndrome (ARDS) (diagnosis),SY
C0035222,ARDs - Acute respiratory distress syndrome,SY
C0036572,Seizures,PT
C0036572,seizures,SY
C0036572,Seizure,SY
C0036572,SEIZURE,SY
C0036572,Seizure NOS,SY
C0036572,seizure,SY
C0036572,Convulsion,SY
C0036572,CONVULSION,SY
C0036572,convulsion,SY
C0036572,Convulsions,SY
C0036572,CONVULSIONS,SY
C0036572,CONVULSION (NOS),SY
C0036572,Convulsion NOS,SY
C0036572,convulsions nos,SY
C0036572,Convulsion (NOS),SY
C0036572,Convulsions NOS,SY
C0036572,convulsions,SY
C0036572,Fit,SY
C0036572,fit,SY
C0036572,FITS NOS,SY
C0036572,Fitting,SY
C0036572,fit's,SY
C0036572,fitted,SY
C0036572,Fits NOS,SY
C0036572,Fit(s),SY
C0036572,fits,SY
C0036572,Convulsion (disorder),SY
C0036572,[D]Fit,SY
C0036572,[D]Convulsions,SY
C0036572,[D]Convulsion NOS,SY
C0036572,[D]Seizure NOS,SY
C0036572,seizure d,SY
C0036572,Fit - convulsion,SY
C0036572,Fits - convulsions,SY
C0036572,A70-A72 CONVULSIONS,SY
C0036572,sz,SY
C0036572,[D]Convulsions (context-dependent category),SY
C0036572,[D]Convulsion NOS (context-dependent category),SY
C0036572,[D]Fit (context-dependent category),SY
C0036572,convulsions (symptom),SY
C0036572,Seizure (finding),SY
C0036572,[D]Convulsions (situation),SY
C0036572,[D]Convulsion NOS (situation),SY
C0036572,[D]Fit (situation),SY
C0036572,seizure (physical finding),SY
C0036572,Fit - convulsion (finding),SY
C0036572,Fits - convulsions (disorder),SY
C0036973,Shivering,PT
C0036973,SHIVERING,SY
C0036973,shivering,SY
C0036973,SHIVERS,SY
C0036973,Shivered,SY
C0036973,shiver,SY
C0036973,Shivers,SY
C0036973,shivers,SY
C0036973,Shiverings,SY
C0036973,Shivering or rigors,SY
C0036973,Shivers (disorder),SY
C0036973,Shiverer,SY
C0036973,Equine shivers,SY
C0036973,Shuddering,SY
C0036973,Shivering or rigors (finding),SY
C0036973,Shivering (finding),SY
C0037284,Skin lesion,PT
C0037284,lesion skin,SY
C0037284,lesion; skin,SY
C0037284,SKIN LESION,SY
C0037284,Skin Lesion,SY
C0037284,skin lesion,SY
C0037284,skin; lesion,SY
C0037284,lesions skin,SY
C0037284,Skin lesion NOS,SY
C0037284,Skin lesions,SY
C0037284,skin lesions,SY
C0037284,skin lesion(s):,SY
C0037284,skin lesions:,SY
C0037284,Skin lesion (disorder),SY
C0037284,disorder lesions skin,SY
C0037284,disorders lesions skin,SY
C0037284,skin lesions (physical finding),SY
C0037284,skin lesions (symptom),SY
C0037299,Skin Ulcer,PT
C0037299,ULCER SKIN,SY
C0037299,Ulcer skin,SY
C0037299,Ulcer;skin,SY
C0037299,ulcer; skin,SY
C0037299,SKIN ULCER,SY
C0037299,skin ulcer,SY
C0037299,Skin ulcer,SY
C0037299,skin; ulcer,SY
C0037299,Skin Ulcers,SY
C0037299,Ulcers,SY
C0037299,Ulcer of skin,SY
C0037299,Skin Ulcer(s),SY
C0037299,skin ulcers,SY
C0037299,Skin ulcer NOS,SY
C0037299,Ulcer of skin NOS,SY
C0037299,Skin ulcers,SY
C0037299,Ulcer,SY
C0037299,Skin ulceration,SY
C0037299,SKIN ULCERATION,SY
C0037299,skin ulceration,SY
C0037299,Skin Ulceration,SY
C0037299,skin ulcerations,SY
C0037299,Cutaneous ulcer,SY
C0037299,cutaneous ulcer,SY
C0037299,cutaneous ulcers,SY
C0037299,Cutaneous ulcers,SY
C0037299,skin sores,SY
C0037299,sore on skin,SY
C0037299,Cutaneous ulceration,SY
C0037299,Open skin sore,SY
C0037299,skin ulcer (physical finding),SY
C0037299,Physical findings.skin ulcer,SY
C0037299,Skin ulcer (disorder),SY
C0037361,Smell Perception,PT
C0037361,smell perception,SY
C0037361,Sense of Smell,SY
C0037361,sense of smell,SY
C0037361,Smell Sense,SY
C0037361,smell,SY
C0037361,Smelling,SY
C0037361,smelled,SY
C0037361,smelling,SY
C0037361,smells,SY
C0037361,Ability to recognise smell,SY
C0037361,Ability to recognize smell,SY
C0037361,olfactory,SY
C0037361,Olfactory,SY
C0037361,Olfactory Perception,SY
C0037361,olfactory sense,SY
C0037361,Olfaction,SY
C0037361,olfaction,SY
C0037361,function (observable entity),SY
C0037361,function,SY
C0037361,Sense of smell (function),SY
C0037361,scent perception,SY
C0037361,sensory perception of smell,SY
C0038056,Sputum,PT
C0038056,sputum,SY
C0038056,SPUTUM,SY
C0038056,Sputums,SY
C0038056,Expectoration,SY
C0038056,Portion of sputum,SY
C0038056,Sputum (substance),SY
C0040822,Tremor,PT
C0040822,TREMOR,SY
C0040822,tremor,SY
C0040822,Tremors,SY
C0040822,TREMORS,SY
C0040822,Tremor NOS,SY
C0040822,tremors,SY
C0040822,The shakes,SY
C0040822,the shakes,SY
C0040822,SHAKING,SY
C0040822,Shakes,SY
C0040822,Shaking,SY
C0040822,shakes,SY
C0040822,shake,SY
C0040822,shaking,SY
C0040822,quivering,SY
C0040822,quivers,SY
C0040822,quiver,SY
C0040822,trembles,SY
C0040822,Trembled,SY
C0040822,Trembling,SY
C0040822,Has a tremor,SY
C0040822,[D]Tremor NOS,SY
C0040822,d tremors,SY
C0040822,Tremor [D],SY
C0040822,[D]Tremor,SY
C0040822,Shaking all over,SY
C0040822,tremor (diagnosis),SY
C0040822,Involuntary shaking,SY
C0040822,A46-A47 TREMORS,SY
C0040822,motor exam involuntary movements tremor trembles,SY
C0040822,trembles (physical finding),SY
C0040822,(Has a tremor) or (tremor symptom) or (shaking),SY
C0040822,[D]Tremor NOS (context-dependent category),SY
C0040822,[D]Tremor (context-dependent category),SY
C0040822,Tremor [D] (finding),SY
C0040822,Tremor (finding),SY
C0040822,Tremor symptom,SY
C0040822,Shaking/Tremors,SY
C0040822,Tremors/Shaking,SY
C0040822,[D]Tremor (situation),SY
C0040822,[D]Tremor NOS (situation),SY
C0040822,Tremor [D] (situation),SY
C0040822,tremors as symptom,SY
C0040822,involuntary shaking or trembling movements,SY
C0040822,involuntary shaking or trembling movements (tremor),SY
C0040822,tremor (physical finding),SY
C0040822,involuntary shaking or trembling movements (symptom),SY
C0040822,(Has a tremor) or (tremor symptom) or (shaking) (finding),SY
C0041582,ULCER,SY
C0041582,ulcer,SY
C0041582,ULCERS,SY
C0041582,ulcers,SY
C0041582,Ulcer NOS,SY
C0041582,Ulcerative lesion,SY
C0041582,lesions ulcerative,SY
C0041582,Ulcerated,SY
C0041582,ulcerated,SY
C0041582,Ulcerating,SY
C0041582,ulcerates,SY
C0041582,ulcerate,SY
C0041582,ulcerating,SY
C0041582,Ulcerative,SY
C0041582,ulcerative,SY
C0041582,ulceratives,SY
C0041582,Ulcus,SY
C0041582,Ulcer - lesion,SY
C0041582,ulcer lesion,SY
C0041582,lesions ulcers,SY
C0041582,lesions ulcer,SY
C0041582,38 ULCERS,SY
C0041582,Ulceration,SY
C0041582,ulceration,SY
C0041582,ulcerations,SY
C0041582,Ulcer (morphologic abnormality),SY
C0041582,Ulcerative (qualifier value),SY
C0041582,Ulcer (disorder),SY
C0041834,Erythema,PT
C0041834,ERYTHEMA,SY
C0041834,erythema,SY
C0041834,Erythemas,SY
C0041834,erythemas,SY
C0041834,ERYTHEMA NOS,SY
C0041834,Erythema NOS,SY
C0041834,Unspecified erythematous condition,SY
C0041834,Erythematous condition,SY
C0041834,erythematous condition,SY
C0041834,Erythematous conditions,SY
C0041834,Erythematous conditions NOS,SY
C0041834,Erythema of skin,SY
C0041834,erythema of skin,SY
C0041834,SKIN ERYTHEMA,SY
C0041834,skin erythema,SY
C0041834,Skin erythema,SY
C0041834,Injection (erythema),SY
C0041834,Redness,SY
C0041834,Erythematous disorder,SY
C0041834,Skin red,SY
C0041834,Red skin,SY
C0041834,SKIN RED,SY
C0041834,erythematous condition (diagnosis),SY
C0041834,Cutaneous redness,SY
C0041834,Dermal erythema,SY
C0041834,Skin reddened,SY
C0041834,Redness of skin or mucous membrane,SY
C0041834,redness of skin,SY
C0041834,redness skin,SY
C0041834,skin redness,SY
C0041834,Skin redness,SY
C0041834,Erythema (morphologic abnormality),SY
C0041834,Erythematous condition (disorder),SY
C0041834,Erythematous conditions NOS (disorder),SY
C0041834,Erythema (finding),SY
C0041834,erythema findings,SY
C0041834,Erythema - observation,SY
C0041834,Erythematous cond NOS,SY
C0041834,erythema of skin (physical finding),SY
C0041834,unusual change in color of skin to red (erythema),SY
C0041834,unusual change in color of skin to red (erythema) (symptom),SY
C0041834,Erythematous disorder (disorder),SY
C0041834,Erythema of skin (finding),SY
C0041912,Upper Respiratory Infections,PT
C0041912,upper respiratory infections,SY
C0041912,Upper respiratory infection,SY
C0041912,Respiratory Infection,SY
C0041912,Upper,SY
C0041912,INFECTION UPPER RESPIRATORY,SY
C0041912,UPPER RESPIRATORY INFECTION,SY
C0041912,Upper Respiratory Infection,SY
C0041912,Upper respiratory infection NOS,SY
C0041912,upper respiratory infection,SY
C0041912,Infection upper respiratory,SY
C0041912,Infections,SY
C0041912,Upper Respiratory,SY
C0041912,Cold,SY
C0041912,U.R.I.,SY
C0041912,Upper respiratory tract infectious disease,SY
C0041912,upper resp tract infection,SY
C0041912,Infection;upper resp tract,SY
C0041912,UPPER RESP TRACT INFECTION,SY
C0041912,Upper resp tract infection,SY
C0041912,Infection of upper resp tract,SY
C0041912,Upper Respiratory Tract Infections,SY
C0041912,Upper respiratory tract infections,SY
C0041912,Infection of the upper respiratory tract,SY
C0041912,Upper respiratory tract infection,SY
C0041912,Upper respiratory tract infection NOS,SY
C0041912,RESPIRATORY TRACT INFECTION UPPER,SY
C0041912,Upper Respiratory Tract Infection,SY
C0041912,Infection,SY
C0041912,Upper Respiratory Tract,SY
C0041912,URI,SY
C0041912,uri,SY
C0041912,UPPER RESPIRATORY INFECT,SY
C0041912,Upper respiratory infect.NOS,SY
C0041912,INFECT UPPER RESPIRATORY,SY
C0041912,Upper respiratory tract infecn,SY
C0041912,URTI - Infection of the upper respiratory tract,SY
C0041912,upper respiratory tract infection (URTI),SY
C0041912,URTI (upper respiratory tract infection),SY
C0041912,URTI - Infectn upper resp trct,SY
C0041912,URTI,SY
C0041912,Upper respiratory infection (disorder),SY
C0041912,Upper respiratory infection NOS (disorder),SY
C0041912,URI - Upper respiratory infection,SY
C0041912,upper respiratory infection (URI),SY
C0041912,URI (upper respiratory infection),SY
C0041912,upper respiratory infection (diagnosis),SY
C0041912,Infection of the upper respiratory tract (disorder),SY
C0042963,Vomiting,PT
C0042963,VOMITING,SY
C0042963,vomiting,SY
C0042963,Vomiting NOS,SY
C0042963,vomited,SY
C0042963,vomits,SY
C0042963,vomit,SY
C0042963,Vomited,SY
C0042963,VOMIT,SY
C0042963,Emesis,SY
C0042963,EMESIS,SY
C0042963,emesis,SY
C0042963,Being sick,SY
C0042963,[D]Emesis,SY
C0042963,[D]Vomiting,SY
C0042963,Throwing up,SY
C0042963,throwing up,SY
C0042963,throw up,SY
C0042963,Vomiting (disorder),SY
C0042963,Vomiting disorder,SY
C0042963,Vomiting NOS (disorder),SY
C0042963,Vomiting symptom,SY
C0042963,vomiting (symptom),SY
C0042963,Vomiting symptoms,SY
C0042963,symptoms vomiting,SY
C0042963,vomiting symptoms,SY
C0042963,Observation of vomiting,SY
C0042963,[D]Emesis (context-dependent category),SY
C0042963,[D]Vomiting (context-dependent category),SY
C0042963,Vomiting symptoms (disorder),SY
C0042963,Finding of vomiting (finding),SY
C0042963,Finding of vomiting,SY
C0042963,Vomiting (finding),SY
C0042963,Vomiting NOS (finding),SY
C0042963,regurgitation; gastric contents,SY
C0042963,gastric contents; regurgitation,SY
C0042963,Vomiting symptom (finding),SY
C0042963,[D]Emesis (situation),SY
C0042963,[D]Vomiting (situation),SY
C0042963,vomiting (physical finding),SY
C0042963,Vomiting disorder (disorder),SY
C0042963,vomiting was observed,SY
C0043144,Wheezing,PT
C0043144,WHEEZING,SY
C0043144,wheezing,SY
C0043144,Wheezings,SY
C0043144,WHEEZES,SY
C0043144,Wheeze,SY
C0043144,wheezes,SY
C0043144,wheeze,SY
C0043144,Wheezes,SY
C0043144,[D]Wheezing,SY
C0043144,Wheezy,SY
C0043144,wheezy,SY
C0043144,[D]Wheezing (context-dependent category),SY
C0043144,Wheezing (finding),SY
C0043144,[D]Wheezing (situation),SY
C0043144,wheezing [as a symptom],SY
C0043144,reported wheezing (symptom),SY
C0043144,reported wheezing,SY
C0085593,Chills,PT
C0085593,CHILLS,SY
C0085593,chills,SY
C0085593,Chill,SY
C0085593,chill,SY
C0085593,Chill(s) NOS,SY
C0085593,Chilling,SY
C0085593,chilling,SY
C0085593,CHILL,SY
C0085593,Chills NOS,SY
C0085593,ague,SY
C0085593,shaking chills,SY
C0085593,shaking chill,SY
C0085593,chill shaking,SY
C0085593,chills shakes,SY
C0085593,chills shaking,SY
C0085593,[D]Chill(s) NOS,SY
C0085593,[D]Chill(s) NOS (context-dependent category),SY
C0085593,Chill (finding),SY
C0085593,[D]Chill(s) NOS (situation),SY
C0085593,chills (symptom),SY
C0085593,reported chills,SY
C0086525,Lassitude,PT
C0086525,LASSITUDE,SY
C0086525,lassitude,SY
C0086525,[D]Lassitude,SY
C0149514,Acute bronchitis,PT
C0149514,BRONCHITIS,SY
C0149514,ACUTE,SY
C0149514,BRONCHITIS ACUTE,SY
C0149514,Bronchitis acute,SY
C0149514,Bronchitis;acute,SY
C0149514,Bronchitis - acute,SY
C0149514,bronchitis; acute,SY
C0149514,ACUTE BRONCHITIS,SY
C0149514,acute bronchitis,SY
C0149514,acute; bronchitis,SY
C0149514,Acute Bronchitis,SY
C0149514,Acute bronchitis NOS,SY
C0149514,Bronchitis acute NOS,SY
C0149514,bronchitis,SY
C0149514,Acute tracheobronchitis,SY
C0149514,Tracheobronchitis,SY
C0149514,acute,SY
C0149514,Tracheobronchitis - acute,SY
C0149514,acute; tracheobronchitis,SY
C0149514,acute tracheobronchitis,SY
C0149514,Acute bronchitis (disorder),SY
C0149514,Acute bronchitis NOS (disorder),SY
C0149514,Acute chest infections,SY
C0149514,Acute tracheobronchitis (disorder),SY
C0149514,acute tracheobronchitis (diagnosis),SY
